Altium Designer Pick and Place Locations
E:\#pd\External project\12_Terra Spray\Project Outputs for Terra_Spray\08_Pick and Place\Pick Place\Pick Place for Terra Spray panel 16 pcb.csv

========================================================================================================================
File Design Information:

Date:       23-09-21
Time:       19:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R10","Resistor","TopLayer","RESC0402","25.7750","33.1500","180","Thick Film Resistor -  10Kohm, 1%, 0402"
"R13","Resistor","TopLayer","RESC0402","29.0250","32.0750","360","Thick Film Resistor -  1Mohm, 1%, 0402"
"A1","Antenna_1","TopLayer","ESP32_ANT","38.9000","24.3566","270","PCB Antenna"
"C2","Capacitor","BottomLayer","CAPC0603","16.7696","35.1536","180","Ceramic Capacitor,22uF,0603,6.3V"
"X1","CRYSTAL_1","TopLayer","CRYSTAL_3225","30.4000","20.3000","180","40MHz ±10ppm 10pF 30O SMD-3225 SMD Crystal Resonators RoHS"
"R6","Resistor","BottomLayer","RESC0603","30.2064","15.5956","90","Thick Film Resistor -  820ohm, 1%, 0603"
"Q3","PNP BJT Transistor","BottomLayer","SOT-23","27.6662","13.4648","270","ON SEMICONDUCTOR - MMBT3906LT1G - Bipolar (BJT) Single Transistor, General Purpose, PNP, -40 V, 250 MHz, 225 mW, -200 mA, 300 hFE"
"Q2","NPN BJT Transistor","BottomLayer","SOT-23","24.2880","13.4726","270","Bipolar Transistors - BJT SOT-23 NPN"
"L3","Inductor","TopLayer","INDUCTOR_0402","35.9250","25.4748","360","2nH ±0.3nH 900mA 120mO 0402 Inductors (SMD) RoHS"
"L2","Inductor","TopLayer","INDUCTOR_0402","35.0439","28.2638","360","2nH ±0.3nH 900mA 120mO 0402 Inductors (SMD) RoHS"
"D3","B0540W","BottomLayer","SOD123_-_DUPLICATE","25.1262","16.6878","180","Diode Schottky 40V 0.5A 2-Pin SOD-123 T/R"
